,0
open_540,14014.957834602828
high_540,14028.945048966269
low_540,14000.76781828074
close_540,14014.596844396083
volume_540,4004.9216539717086
SMA_8_540,14014.935051686616
SMA_21_540,14015.447847038706
SMA_89_540,14019.113947439206
subcloseSMA_8_540,-0.33820729053318827
subcloseSMA_21_540,-0.851002642623979
subcloseSMA_89_540,-4.517103043122112
subSMA_8close_540,0.33820729053318827
subSMA_8SMA_21_540,-0.5127953520907906
subSMA_8SMA_89_540,-4.178895752588923
subSMA_21close_540,0.851002642623979
subSMA_21SMA_8_540,0.5127953520907906
subSMA_21SMA_89_540,-3.666100400498133
subSMA_89close_540,4.517103043122112
subSMA_89SMA_8_540,4.178895752588923
subSMA_89SMA_21_540,3.666100400498133
close_slope_540,-1.5305378325141502e-05
SMA_8_slope_540,-2.3569584018674012e-05
SMA_21_slope_540,-3.9306104151053504e-05
SMA_89_slope_540,-6.239971725338107e-05
open_720,14014.957834602828
high_720,14030.924238302503
low_720,13998.629760609358
close_720,14014.599292709467
volume_720,5288.116430903156
SMA_8_720,14015.229937431992
SMA_21_720,14015.941123892428
SMA_89_720,14020.973991637222
subcloseSMA_8_720,-0.6306447225244831
subcloseSMA_21_720,-1.3418311829628704
subcloseSMA_89_720,-6.374698927754885
subSMA_8close_720,0.6306447225244831
subSMA_8SMA_21_720,-0.7111864604383872
subSMA_8SMA_89_720,-5.744054205230402
subSMA_21close_720,1.3418311829628704
subSMA_21SMA_8_720,0.7111864604383872
subSMA_21SMA_89_720,-5.032867744792015
subSMA_89close_720,6.374698927754885
subSMA_89SMA_8_720,5.744054205230402
subSMA_89SMA_21_720,5.032867744792015
close_slope_720,-1.6145465102127387e-05
SMA_8_slope_720,-2.8430454270182896e-05
SMA_21_slope_720,-4.1276243387738175e-05
SMA_89_slope_720,-6.131444310920428e-05
d,0.49510337323177367
