,0
open_60,12256.617230719166
high_60,12261.539619264562
low_60,12251.546859746177
close_60,12256.53782948259
volume_60,534.99349170192
SMA_8_60,12256.67623250895
SMA_21_60,12256.909604388453
SMA_89_60,12257.766413342742
subcloseSMA_8_60,-0.1384030263586072
subcloseSMA_21_60,-0.37177490586210066
subcloseSMA_89_60,-1.2285838601520298
subSMA_8close_60,0.1384030263586072
subSMA_8SMA_21_60,-0.23337187950349342
subSMA_8SMA_89_60,-1.0901808337934225
subSMA_21close_60,0.37177490586210066
subSMA_21SMA_8_60,0.23337187950349342
subSMA_21SMA_89_60,-0.8568089542899291
subSMA_89close_60,1.2285838601520298
subSMA_89SMA_8_60,1.0901808337934225
subSMA_89SMA_21_60,0.8568089542899291
close_slope_60,-1.1238445693779808e-05
SMA_8_slope_60,-1.2855416862738755e-05
SMA_21_slope_60,-1.1199550398505107e-05
SMA_89_slope_60,-7.59812859887723e-06
open_120,12256.617230719166
high_120,12263.538236251221
low_120,12249.409941425318
close_120,12256.51749105109
volume_120,1069.381711682395
SMA_8_120,12256.782236413928
SMA_21_120,12257.181918553297
SMA_89_120,12258.62872536079
subcloseSMA_8_120,-0.26474536283761796
subcloseSMA_21_120,-0.6644275022081901
subcloseSMA_89_120,-2.1112343096999338
subSMA_8close_120,0.26474536283761796
subSMA_8SMA_21_120,-0.3996821393705722
subSMA_8SMA_89_120,-1.8464889468623158
subSMA_21close_120,0.6644275022081901
subSMA_21SMA_8_120,0.3996821393705722
subSMA_21SMA_89_120,-1.4468068074917448
subSMA_89close_120,2.1112343096999338
subSMA_89SMA_8_120,1.8464889468623158
subSMA_89SMA_21_120,1.4468068074917448
close_slope_120,-1.1121567928895709e-05
SMA_8_slope_120,-1.1833296514433048e-05
SMA_21_slope_120,-1.028696674696102e-05
SMA_89_slope_120,-7.924720869347905e-06
d,0.5092743247640742
