,0
open_540,14084.503411572052
high_540,14099.163755458516
low_540,14070.042030567685
close_540,14084.562636462882
volume_540,4063.942139737991
SMA_8_540,14084.735517876637
SMA_21_540,14085.473714649615
SMA_89_540,14089.937561331632
subcloseSMA_8_540,-0.1728814137554585
subcloseSMA_21_540,-0.9110781867332247
subcloseSMA_89_540,-5.374924868750322
subSMA_8close_540,0.1728814137554585
subSMA_8SMA_21_540,-0.7381967729777662
subSMA_8SMA_89_540,-5.202043454994864
subSMA_21close_540,0.9110781867332247
subSMA_21SMA_8_540,0.7381967729777662
subSMA_21SMA_89_540,-4.463846682017097
subSMA_89close_540,5.374924868750322
subSMA_89SMA_8_540,5.202043454994864
subSMA_89SMA_21_540,4.463846682017097
close_slope_540,-4.618508874517045e-05
SMA_8_slope_540,-5.1879404273893614e-05
SMA_21_slope_540,-6.151901098548527e-05
SMA_89_slope_540,-7.736263872492885e-05
open_720,14084.503411572052
high_720,14101.125
low_720,14067.89969978166
close_720,14084.411162663755
volume_720,5359.055131004367
SMA_8_720,14084.986114901747
SMA_21_720,14085.96253768975
SMA_89_720,14092.190310522054
subcloseSMA_8_720,-0.5749522379912664
subcloseSMA_21_720,-1.5513750259929509
subcloseSMA_89_720,-7.779147858299398
subSMA_8close_720,0.5749522379912664
subSMA_8SMA_21_720,-0.9764227880016845
subSMA_8SMA_89_720,-7.204195620308131
subSMA_21close_720,1.5513750259929509
subSMA_21SMA_8_720,0.9764227880016845
subSMA_21SMA_89_720,-6.227772832306446
subSMA_89close_720,7.779147858299398
subSMA_89SMA_8_720,7.204195620308131
subSMA_89SMA_21_720,6.227772832306446
close_slope_720,-4.530413424599364e-05
SMA_8_slope_720,-5.4494790048350766e-05
SMA_21_slope_720,-6.377481763847841e-05
SMA_89_slope_720,-8.055424077985973e-05
d,0.5087336244541485
