,0
open_180,493.29400439719797
high_180,492.3498264603742
low_180,494.3880601388991
close_180,493.224249784183
volume_180,2398.973786136241
SMA_8_180,492.89937203260587
SMA_21_180,492.75993162829565
SMA_89_180,492.1022564810295
subcloseSMA_8_180,23.584223177930944
subcloseSMA_21_180,40.454715354823804
subcloseSMA_89_180,81.12389056487869
subSMA_8close_180,23.584223177930944
subSMA_8SMA_21_180,25.952558909546855
subSMA_8SMA_89_180,74.31086869416684
subSMA_21close_180,40.454715354823804
subSMA_21SMA_8_180,25.952558909546855
subSMA_21SMA_89_180,62.27806214062271
subSMA_89close_180,81.12389056487869
subSMA_89SMA_8_180,74.31086869416684
subSMA_89SMA_21_180,62.27806214062271
close_slope_180,0.00360238708277971
SMA_8_slope_180,0.0028905017155396013
SMA_21_slope_180,0.001993858831123768
SMA_89_slope_180,0.0009462970898559038
open_240,493.29400439719797
high_240,492.1015752986251
low_240,494.498741941607
close_240,492.79984434558855
volume_240,3114.45965037704
SMA_8_240,492.7628956572387
SMA_21_240,492.53934310648344
SMA_89_240,491.8129154779292
subcloseSMA_8_240,27.07385954265091
subcloseSMA_21_240,46.42705279949405
subcloseSMA_89_240,92.35370107946706
subSMA_8close_240,27.07385954265091
subSMA_8SMA_21_240,29.687860522806805
subSMA_8SMA_89_240,84.3517823463613
subSMA_21close_240,46.42705279949405
subSMA_21SMA_8_240,29.687860522806805
subSMA_21SMA_89_240,70.54929256434362
subSMA_89close_240,92.35370107946706
subSMA_89SMA_8_240,84.3517823463613
subSMA_89SMA_21_240,70.54929256434362
close_slope_240,0.0035553190279533375
SMA_8_slope_240,0.0026468704054793185
SMA_21_slope_240,0.0017357335970655018
SMA_89_slope_240,0.0008213517679618268
d,0.4991800825506356
